,nine,ten,twelve,twentysix,thirty,fifty,sixty,onetwenty
309,144.18,143.64,142.66,137.78,136.81,135.59,134.39,128.77
310,144.91,144.43,143.39,138.38,137.3,135.9,134.74,129.02
311,145.37,145.14,144.19,139.03,137.83,136.18,135.1,129.26
312,145.72,145.5,144.85,139.72,138.43,136.48,135.46,129.5
313,146.04,145.88,145.45,140.38,139.0,136.76,135.8,129.74
314,146.41,146.23,145.85,140.99,139.56,137.02,136.14,129.97
315,146.99,146.65,146.29,141.62,140.19,137.33,136.45,130.19
316,147.09,147.07,146.58,142.18,140.82,137.64,136.73,130.37
317,147.4,147.16,146.84,142.74,141.41,137.92,137.04,130.54
318,147.66,147.54,147.28,143.34,141.96,138.2,137.34,130.72
319,147.93,147.8,147.45,143.78,142.52,138.45,137.62,130.9
320,148.18,148.08,147.82,144.21,143.06,138.69,137.93,131.09
321,148.42,148.24,148.02,144.66,143.58,138.94,138.19,131.28
322,148.72,148.58,148.31,145.18,144.14,139.24,138.49,131.47
323,148.9,148.8,148.5,145.68,144.53,139.55,138.76,131.66
324,148.95,148.93,148.71,146.12,144.91,139.86,139.01,131.84
325,149.04,148.92,148.82,146.54,145.29,140.17,139.26,132.02
326,149.17,149.03,148.91,146.94,145.7,140.53,139.54,132.2
327,149.18,149.15,148.92,147.27,146.12,140.84,139.79,132.4
328,149.03,149.02,148.9,147.45,146.44,141.15,140.0,132.6
329,149.0,149.05,149.03,147.67,146.83,141.45,140.22,132.85
330,149.02,149.0,149.04,147.85,147.17,141.8,140.41,133.08
331,149.05,149.15,149.15,148.06,147.51,142.17,140.64,133.33
332,149.36,149.37,149.38,148.4,147.82,142.65,140.93,133.59
333,149.47,149.45,149.5,148.53,148.04,143.05,141.2,133.82
334,149.61,149.52,149.5,148.72,148.23,143.43,141.47,134.05
335,149.89,149.8,149.66,148.91,148.45,143.85,141.78,134.28
336,150.31,150.17,149.94,149.14,148.76,144.33,142.14,134.52
