,nine,ten,twelve,twentysix,thirty,fifty,sixty,onetwenty,macd,signal,macdHisto,twentyeightDayVol
80,94.34,94.1,93.64,91.31,90.77,87.87,86.54,0.0,2.3299999999999983,1.9094907151350227,0.42050928486497563,0.315
81,94.93,94.68,94.2,91.75,91.19,88.24,86.89,0.0,2.450000000000003,2.017592572108019,0.43240742789198405,0.311
82,95.0,94.79,94.37,92.01,91.46,88.52,87.17,0.0,2.3599999999999994,2.086074057686415,0.27392594231358425,0.312
83,95.42,95.21,94.79,92.39,91.82,88.86,87.5,0.0,2.4000000000000057,2.1488592461491334,0.2511407538508723,0.316
84,95.52,95.34,94.97,92.65,92.09,89.14,87.78,0.0,2.319999999999993,2.1830873969193054,0.13691260308068776,0.313
85,95.68,95.52,95.18,92.92,92.36,89.42,88.06,0.0,2.260000000000005,2.198469917535445,0.06153008246455993,0.312
86,96.36,96.17,95.78,93.38,92.79,89.8,88.42,0.0,2.4000000000000057,2.2387759340283573,0.1612240659716484,0.315
87,96.59,96.42,96.05,93.69,93.1,90.1,88.72,0.0,2.3599999999999994,2.263020747222686,0.09697925277731345,0.321
88,96.85,96.69,96.33,94.0,93.41,90.41,89.02,0.0,2.3299999999999983,2.2764165977781485,0.05358340222184976,0.313
89,96.97,96.83,96.5,94.26,93.67,90.69,89.3,0.0,2.239999999999995,2.269133278222518,-0.029133278222523096,0.31
90,97.13,97.0,96.7,94.52,93.94,90.97,89.58,0.0,2.180000000000007,2.251306622578016,-0.07130662257800902,0.302
91,97.13,97.03,96.77,94.71,94.15,91.21,89.83,0.0,2.0600000000000023,2.213045298062413,-0.15304529806241085,0.299
92,96.96,96.9,96.7,94.83,94.29,91.41,90.04,0.0,1.8700000000000045,2.1444362384499316,-0.27443623844992704,0.291
93,97.09,97.03,96.84,95.04,94.51,91.65,90.29,0.0,1.7999999999999972,2.0755489907599447,-0.27554899075994754,0.291
94,97.43,97.35,97.14,95.32,94.78,91.93,90.57,0.0,1.8200000000000074,2.0244391926079572,-0.20443919260794985,0.29
95,97.42,97.35,97.18,95.47,94.95,92.14,90.79,0.0,1.710000000000008,1.9615513540863676,-0.25155135408635965,0.288
96,97.44,97.38,97.23,95.62,95.12,92.35,91.01,0.0,1.6099999999999994,1.891241083269094,-0.2812410832690946,0.284
97,97.52,97.47,97.33,95.79,95.3,92.57,91.23,0.0,1.539999999999992,1.8209928666152737,-0.28099286661528167,0.291
98,97.61,97.56,97.43,95.95,95.47,92.78,91.45,0.0,1.480000000000004,1.75279429329222,-0.27279429329221605,0.298
99,97.64,97.6,97.48,96.09,95.62,92.98,91.66,0.0,1.3900000000000006,1.6802354346337762,-0.29023543463377566,0.312
100,97.77,97.73,97.61,96.25,95.79,93.19,91.88,0.0,1.3599999999999994,1.6161883477070211,-0.2561883477070217,0.31
101,97.74,97.71,97.61,96.35,95.91,93.36,92.07,0.0,1.2600000000000051,1.5449506781656182,-0.28495067816561304,0.31
102,97.86,97.82,97.72,96.5,96.07,93.56,92.28,0.0,1.2199999999999989,1.4799605425324944,-0.25996054253249556,0.304
103,98.15,98.09,97.97,96.71,96.28,93.79,92.51,0.0,1.2600000000000051,1.4359684340259966,-0.1759684340259915,0.303
104,98.32,98.26,98.13,96.88,96.46,94.0,92.72,0.0,1.25,1.3987747472207974,-0.14877474722079742,0.285
105,98.64,98.56,98.4,97.1,96.68,94.23,92.96,0.0,1.3000000000000114,1.3790197977766403,-0.07901979777662893,0.285
106,99.0,98.9,98.71,97.35,96.92,94.47,93.2,0.0,1.3599999999999994,1.3752158382213122,-0.015215838221312783,0.275
107,99.42,99.3,99.08,97.63,97.19,94.73,93.46,0.0,1.4500000000000028,1.3901726705770505,0.059827329422952324,0.273
108,100.22,100.05,99.75,98.06,97.59,95.07,93.79,0.0,1.6899999999999977,1.4501381364616401,0.2398618635383576,0.272
109,100.1,99.98,99.73,98.18,97.72,95.25,93.98,0.0,1.5499999999999972,1.4701105091693116,0.07988949083068553,0.274
110,99.45,99.41,99.29,98.08,97.66,95.31,94.07,0.0,1.210000000000008,1.418088407335451,-0.20808840733544298,0.28
111,98.59,98.63,98.65,97.86,97.5,95.3,94.11,0.0,0.7900000000000063,1.292470725868362,-0.5024707258683558,0.283
112,98.46,98.5,98.54,97.87,97.53,95.4,94.24,0.0,0.6700000000000017,1.16797658069469,-0.4979765806946883,0.284
113,98.48,98.51,98.54,97.92,97.6,95.52,94.38,0.0,0.6200000000000045,1.058381264555753,-0.43838126455574855,0.279
114,98.5,98.53,98.55,97.97,97.66,95.64,94.52,0.0,0.5799999999999983,0.9627050116446022,-0.3827050116446039,0.281
115,98.68,98.69,98.68,98.08,97.77,95.79,94.68,0.0,0.6000000000000085,0.8901640093156835,-0.290164009315675,0.277
116,99.02,99.0,98.94,98.25,97.94,95.97,94.87,0.0,0.6899999999999977,0.8501312074525464,-0.16013120745254872,0.28
117,99.2,99.17,99.09,98.37,98.07,96.12,95.04,0.0,0.7199999999999989,0.824104965962037,-0.10410496596203811,0.281
118,99.28,99.25,99.17,98.46,98.17,96.26,95.19,0.0,0.710000000000008,0.8012839727696311,-0.09128397276962319,0.283
119,99.3,99.27,99.2,98.53,98.25,96.38,95.33,0.0,0.6700000000000017,0.7750271782157053,-0.10502717821570362,0.285
120,99.07,99.06,99.04,98.5,98.24,96.45,95.42,88.75,0.5400000000000063,0.7280217425725655,-0.18802174257255921,0.295
121,98.98,98.98,98.98,98.51,98.26,96.54,95.52,88.91,0.46999999999999886,0.6764173940580521,-0.20641739405805326,0.293
122,98.57,98.6,98.66,98.39,98.17,96.55,95.57,89.04,0.269999999999996,0.5951339152464409,-0.32513391524644486,0.29
123,98.12,98.19,98.3,98.24,98.05,96.54,95.6,89.16,0.060000000000002274,0.4881071321971532,-0.4281071321971509,0.289
124,98.03,98.1,98.21,98.2,98.03,96.59,95.67,89.3,0.009999999999990905,0.39248570575772074,-0.38248570575772983,0.291
125,98.33,98.36,98.41,98.3,98.13,96.7,95.8,89.47,0.10999999999999943,0.33598856460617654,-0.2259885646061771,0.284
126,98.71,98.7,98.69,98.44,98.26,96.84,95.94,89.65,0.25,0.31879085168494126,-0.06879085168494126,0.279
